,Unnamed: 0,Unnamed: 1,DETENIDOS,Unnamed: 3,Unnamed: 4,PROCESADOS,Unnamed: 6,Unnamed: 7,IMPUTADOS,Unnamed: 9,Unnamed: 10,PRIVATIVA DE LIBERTAD,Unnamed: 12,Unnamed: 13,REGIMEN CERRADO CON P.R.S.,Unnamed: 15,Unnamed: 16,FALTA,Unnamed: 18,Unnamed: 19,ARRESTO DIURNO,Unnamed: 21,Unnamed: 22,ARRESTO NOCTURNO,Unnamed: 24,Unnamed: 25,LEY N°20.603,Unnamed: 27,Unnamed: 28,LEY N°18.216,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,UNIDADES QUE INFORMAN,UNIDADES CON S.JUVENIL,UNIDADES RECLUSIÓN,UNIDADES CET,UNIDADES CRS,UNIDADES CAIS,Unnamed: 41,Unnamed: 42,Unnamed: 43
0,C/UNIDAD,Región / Establecimientos,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,H,M,TOTAL,,,,,,,,,
1,10400,CET ARICA,0,0,0,0,0,0,0,0,0,54,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,64,71.0,12,83.0,X,,,,,
2,10101,CP ARICA,0,0,0,0,0,0,363,0,363,1076,2,1078,7,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1447,2,1449,1615.0,225,1840.0,,,,,,
3,10104,CPF ARICA,0,0,0,0,0,0,0,48,48,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,157,115.0,6,121.0,,,,,,
4,12301,CRS ARICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,8,78,0,0,0,70,8,78,115.0,6,121.0,,X,,,,
5,12001,CAIS ARICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
6,DE ARICA Y PARINACOTA,TOTAL DE ARICA Y PARINACOTA,0,0,0,0,0,0,363,48,411,1130,121,1251,7,0,7,1,0,1,0,0,0,0,0,0,70,8,78,0,0,0,1571,177,1748,1801.0,243,2044.0,,,,,,
7,10201,CCP IQUIQUE,0,0,0,0,0,0,0,4,4,6,173,179,0,0,0,0,0,0,0,0,0,0,0,0,63,10,73,0,0,0,69,187,256,89.0,188,277.0,,,,,,
8,10102,CDP POZO ALMONTE,0,0,0,0,0,0,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12,0,0,0,29,0,29,67.0,0,67.0,,,,,,
9,10402,CET SEMIABIERTO POZO ALMONTE,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,10.0,0,10.0,X,,,,,
10,10501,CP ALTO HOSPICIO,0,0,0,0,0,0,699,127,826,1007,132,1139,0,0,0,131,0,131,0,0,0,0,0,0,0,0,0,0,0,0,1837,259,2096,1875.0,269,2144.0,,,,,,
11,12310,CRS ALTO HOSPICIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
12,12300,CRS IQUIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
13,12304,CAIS IQUIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
14,DE TARAPACÁ,TOTAL DE TARAPACA,0,0,0,0,0,0,705,131,836,1032,305,1337,0,0,0,131,0,131,0,0,0,5,0,5,75,10,85,0,0,0,1948,446,2394,2041.0,457,2498.0,,,,,,
15,20501,CCP ANTOFAGASTA - CONCESIONADO,0,0,0,0,0,0,324,0,324,883,0,883,5,0,5,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,1221,0,1221,1295.0,0,1295.0,,,,,,
16,20102,CDP CALAMA,0,0,0,0,0,0,90,16,106,186,20,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,36,312,489.0,31,520.0,,,,,,
17,20103,CDP TAL TAL,0,0,0,0,0,0,7,0,7,63,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,73,3,76,88.0,5,93.0,,,,,,
18,20101,CDP TOCOPILLA,0,0,0,0,0,0,51,5,56,270,20,290,0,0,0,2,0,2,0,0,0,18,7,25,1,0,1,0,0,0,342,32,374,408.0,42,450.0,,,,,,
19,20400,CET ANTOFAGASTA,0,0,0,0,0,0,0,0,0,60,13,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,13,73,32.0,13,45.0,X,,,,,
20,20401,CET OJO OPACHE,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,10.0,0,10.0,X,,,,,
21,20301,CPF ANTOFAGASTA,0,0,0,0,0,0,0,31,31,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0.0,144,144.0,,,,,,
22,22300,CRS ANTOFAGASTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,38,0,0,0,36,2,38,55.0,5,60.0,,X,,,,
23,22301,CRS CALAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,3,23.0,,X,,,,
24,22001,CAIS ANTOFAGASTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
25,DE ANTOFAGASTA,TOTAL DE ANTOFAGASTA,0,0,0,0,0,0,472,52,524,1495,125,1620,5,0,5,2,0,2,0,0,0,27,7,34,37,2,39,3,0,3,2041,186,2227,2397.0,243,2640.0,,,,,,
26,30201,CCP CHAÑARAL,0,0,0,0,0,0,21,0,21,57,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,6,84,84.0,7,91.0,,,,,,
27,30202,CCP COPIAPO,8,0,8,0,0,0,142,20,162,241,38,279,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,394,58,452,461.0,62,523.0,,,,,,
28,30101,CDP VALLENAR,0,0,0,0,0,0,36,5,41,125,10,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,15,176,172.0,20,192.0,,,,,,
29,32300,CRS COPIAPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,1,33.0,,X,,,,
30,30102,CRS VALLENAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,15.0,1,16.0,,X,,,,
31,DE ATACAMA,TOTAL DE ATACAMA,8,0,8,0,0,0,199,25,224,423,54,477,0,0,0,3,0,3,0,0,0,0,0,0,0,2,2,0,0,0,633,81,714,764.0,91,855.0,,,,,,
32,40103,CDP COMBARBALA,0,0,0,0,0,0,4,0,4,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,2.0,0,2.0,,,,,,
33,40104,CDP ILLAPEL,0,0,0,0,0,0,40,5,45,44,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,8,92,89.0,5,94.0,,,,,,
34,40102,CDP OVALLE,0,0,0,0,0,0,32,2,34,109,13,122,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,147,15,162,177.0,20,197.0,,,,,,
35,40101,CDP VICUÑA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,6.0,0,6.0,,,,,,
36,40501,CP LA SERENA,0,0,0,0,0,0,305,13,318,1481,86,1567,4,0,4,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1796,100,1896,1814.0,111,1925.0,,,,,,
37,42304,CRS ILLAPEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
38,42302,CRS LA SERENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,19,0,19,0,0,0,20,0,20,36.0,1,37.0,,X,,,,
39,42301,CRS OVALLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
40,40207,CAIS LA SERENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
41,DE COQUIMBO,TOTAL DE COQUIMBO,0,0,0,0,0,0,381,20,401,1642,102,1744,4,0,4,9,1,10,0,0,0,1,0,1,23,0,23,0,0,0,2060,123,2183,2124.0,137,2261.0,,,,,,
42,50202,CCP LOS ANDES,0,0,0,0,0,0,67,9,76,223,40,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,49,339,328.0,67,395.0,,,,,,
43,50204,CCP SAN ANTONIO,0,0,0,0,0,0,137,14,151,200,17,217,0,0,0,0,0,0,0,0,0,0,0,0,8,1,9,0,0,0,345,32,377,318.0,34,352.0,,,,,,
44,50201,CCP SAN FELIPE,0,0,0,0,0,0,77,0,77,181,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,258,269.0,0,269.0,,,,,,
45,50106,CDP CASABLANCA,0,0,0,0,0,0,13,0,13,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,56,0,56,69.0,0,69.0,,,,,,
46,50105,CDP LIMACHE,0,0,0,0,0,0,32,0,32,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,34,0,34,184,0,184,255.0,0,255.0,,,,,,
47,50101,CDP PETORCA,0,0,0,0,0,0,11,0,11,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54,76.0,0,76.0,,,,,,
48,50104,CDP QUILLOTA,0,0,0,0,0,0,143,25,168,244,46,290,0,0,0,0,0,0,0,0,0,0,0,0,22,3,25,0,0,0,409,74,483,471.0,80,551.0,,,,,,
49,50403,CET CP VALPARAISO,0,0,0,0,0,0,0,0,0,54,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6,60,55.0,7,62.0,X,,,,,
50,50103,CET PUTAENDO,0,0,0,0,0,0,0,0,0,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,45.0,0,45.0,X,,,,,
51,50401,CET VALPARAISO,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,27.0,0,27.0,X,,,,,
52,50701,CP ISLA DE PASCUA,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,8,0,8,12.0,1,13.0,,,,,,
53,50203,CP VALPARAISO,0,0,0,0,0,0,547,39,586,1644,108,1752,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2199,147,2346,2462.0,168,2630.0,,,,,,
54,52301,CRS LOS ANDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
55,52303,CRS QUILLOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3.0,0,3.0,,X,,,,
56,52305,CRS QUILPUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
57,52302,CRS SAN ANTONIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,1,12.0,,X,,,,
58,52300,CRS VALPARAISO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,0,0,49,0,49,85.0,4,89.0,,X,,,,
59,52000,CAIS VALPARAISO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
60,DE VALPARAÍSO,TOTAL DE VALPARAISO,0,0,0,0,0,0,1030,87,1117,2810,217,3027,8,0,8,0,0,0,2,0,2,1,0,1,89,4,93,34,0,34,3974,308,4282,4486.0,362,4848.0,,,,,,
61,60202,CCP RENGO,0,0,0,0,0,0,0,0,0,63,0,63,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70,90.0,0,90.0,,,,,,
62,60204,CCP SANTA CRUZ,0,0,0,0,0,0,88,11,99,143,7,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,18,249,216.0,16,232.0,,,,,,
63,60101,CDP PEUMO,0,0,0,0,0,0,30,0,30,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,105,0,105,127.0,0,127.0,,,,,,
64,60501,CP RANCAGUA,0,0,0,0,0,0,1022,68,1090,1109,54,1163,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2132,122,2254,2109.0,143,2252.0,,,,,,
65,62300,CRS RANCAGUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,4,72,0,0,0,68,4,72,80.0,4,84.0,,X,,,,
66,62301,CRS SAN FERNANDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,14.0,0,14.0,,X,,,,
67,62001,CAIS RANCAGUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
68,62000,CAIS RENGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
69,DEL LIBERTADOR BERNARDO OHIGGINS,TOTAL DE O'HIGGINS,0,0,0,0,0,0,1140,79,1219,1388,61,1449,7,0,7,0,0,0,0,0,0,1,0,1,73,4,77,0,0,0,2609,144,2753,2636.0,163,2799.0,,,,,,
70,70206,CCP CAUQUENES,0,0,0,0,0,0,67,5,72,278,22,300,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,27,377,377.0,42,419.0,,,,,,
71,70201,CCP CURICO,0,0,0,0,0,0,152,0,152,316,0,316,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,12,0,12,486,0,486,504.0,0,504.0,,,,,,
72,70205,CCP LINARES,3,0,3,0,0,0,127,0,127,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,375,0,375,399.0,0,399.0,,,,,,
73,70202,CCP MOLINA,0,0,0,0,0,0,0,0,0,72,0,72,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,76,0,76,89.0,0,89.0,,,,,,
74,70207,CCP PARRAL,0,1,1,0,0,0,37,0,37,60,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,16,113,106.0,10,116.0,,,,,,
75,70203,CCP TALCA,0,0,0,0,0,0,195,0,195,419,0,419,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,619,0,619,629.0,0,629.0,,,,,,
76,70103,CDP CHANCO,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15.0,0,15.0,,,,,,
77,70102,CDP CONSTITUCION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,18.0,,,,,,
78,70400,CET TALCA,0,0,0,0,0,0,0,0,0,63,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,6,69,69.0,6,75.0,X,,,,,
79,70302,CPF TALCA,0,0,0,0,0,0,0,39,39,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,0.0,83,83.0,,,,,,
80,72307,CRS CAUQUENES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
81,72301,CRS CURICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
82,72302,CRS LINARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
83,72300,CRS TALCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
84,72002,CAIS LINARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
85,72001,CAIS TALCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,,X,,,
86,DEL MAULE,TOTAL DEL MAULE,3,1,4,0,0,0,578,44,622,1463,97,1560,5,0,5,0,0,0,0,0,0,1,0,1,19,0,19,12,0,12,2081,142,2223,2206.0,141,2347.0,,,,,,
87,80202,CCP BULNES,0,0,0,0,0,0,18,0,18,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54,114.0,0,114.0,,,,,,
88,80201,CCP CHILLAN,0,0,0,0,0,0,162,29,191,233,27,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,397,56,453,421.0,68,489.0,,,,,,
89,80101,CDP QUIRIHUE,0,0,0,0,0,0,25,0,25,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,71,71.0,0,71.0,,,,,,
90,80102,CDP SAN CARLOS,0,0,0,0,0,0,28,0,28,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,0,100,105.0,0,105.0,,,,,,
91,80106,CDP YUNGAY,0,0,0,0,0,0,15,0,15,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,83,0,83,83.0,0,83.0,,,,,,
92,80404,CET SAN CARLOS,0,0,0,0,0,0,0,0,0,28,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,34,35.0,3,38.0,X,,,,,
93,80403,CET YUNGAY,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,43.0,0,43.0,X,,,,,
94,82301,CRS CHILLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
95,DE ÑUBLE,TOTAL DE ÑUBLE,0,0,0,0,0,0,248,29,277,516,33,549,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,768,62,830,872.0,71,943.0,,,,,,
96,80501,CCP BIO BIO,0,0,0,0,0,0,450,0,450,862,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,0,1312,1336.0,0,1336.0,,,,,,
97,80204,CCP CORONEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.0,0,184.0,,,,,,
98,80107,CDP ARAUCO,0,0,0,0,0,0,22,1,23,70,7,77,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,94,8,102,144.0,15,159.0,,,,,,
99,80109,CDP LEBU,0,0,0,0,0,0,44,0,44,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,109,0,109,123.0,0,123.0,,,,,,
100,80108,CDP LOS ANGELES,0,0,0,0,0,0,0,2,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,9,12,11.0,20,31.0,,,,,,
101,80110,CDP MULCHEN,0,0,0,0,0,0,22,0,22,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92,135.0,0,135.0,,,,,,
102,80105,CDP YUMBEL,0,0,0,0,0,0,20,0,20,76,0,76,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,98,0,98,169.0,0,169.0,,,,,,
103,80405,CET CAÑETE,0,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,22.0,0,22.0,X,,,,,
104,80402,CET CONCEPCION,0,0,0,0,0,0,0,0,0,71,14,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,14,85,49.0,13,62.0,X,,,,,
105,80203,CP CONCEPCION,0,0,0,0,0,0,0,27,27,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,33.0,97,130.0,,,,,,
106,80205,CRS CAÑETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
107,82300,CRS CONCEPCION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
108,82312,CRS CORONEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,,X,,,,
